op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
placeholder,input_ids,{},(),{},"{size: None, view: None}",<class 'torch.Tensor'>,,decoder_input_ids,False,,{},[],[],True,0.0,0.0,0,0,"(1, 512)",torch.int64,input_ids
placeholder,decoder_input_ids,{},(),{},"{size_37: None, view_97: None}",<class 'torch.Tensor'>,input_ids,decoder_attention_mask,False,,{},[],[],True,0.0,0.0,0,0,"(1, 512)",torch.int64,decoder_input_ids
placeholder,decoder_attention_mask,{},(),{},"{dim_3: None, dim_4: None, dim_5: None, getattr_209: None, getattr_210: None, size_40: None, getitem_269: None}",<class 'torch.Tensor'>,decoder_input_ids,size,False,,{},[],[],True,0.0,0.0,0,0,"(1, 512)",torch.int64,decoder_attention_mask
call_method,size,{input_ids: None},"(input_ids,)",{},"{getitem: None, getitem_1: None, getitem_2: None}",,decoder_attention_mask,getitem,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}","[[1, 512]]",[True],True,0.00723840007558465,0.00723840007558465,0,0,"(1,)",,size
call_function,<built-in function getitem>,{size: None},"(size, -1)",{},{view: None},,size,view,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}",[[1]],[True],True,0.006873599905520678,0.006873599905520678,0,0,"(1,)",,getitem
call_method,view,"{input_ids: None, getitem: None}","(input_ids, -1, getitem)",{},{encoder_embed_tokens: None},,getitem,encoder_embed_tokens,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}","[[1, 512], [1]]","[True, True]",True,0.008371199853718281,0.008371199853718281,0,0,"(1, 512)",torch.int64,view
call_module,encoder.embed_tokens,{view: None},"(view,)",{},"{getattr_1: None, encoder_dropout: None}",,view,getitem_1,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.embed_tokens', <class 'torch.nn.modules.sparse.Embedding'>)])}","[[1, 512]]",[True],True,0.017881599441170692,0.017881599441170692,0,0,"(1, 512, 1024)",torch.float32,encoder_embed_tokens
call_function,<built-in function getitem>,{size: None},"(size, 0)",{},{ones: None},,encoder_embed_tokens,getitem_2,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}",[[1]],[True],True,0.0070719999261200425,0.0070719999261200425,0,0,"(1,)",,getitem_1
call_function,<built-in function getitem>,{size: None},"(size, 1)",{},{ones: None},,getitem_1,getattr_1,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}",[[1]],[True],True,0.006969599891453982,0.006969599891453982,0,0,"(1,)",,getitem_2
call_function,<built-in function getattr>,{encoder_embed_tokens: None},"(encoder_embed_tokens, 'device')",{},{ones: None},,getitem_2,ones,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}","[[1, 512, 1024]]",[True],True,0.006867200043052435,0.006867200043052435,0,0,"(1,)",,getattr_1
call_function,<built-in method ones of type object at 0x15552dc96d80>,"{getitem_1: None, getitem_2: None, getattr_1: None}","(getitem_1, getitem_2)",{'device': getattr_1},"{dim: None, dim_1: None, dim_2: None, getitem_3: None}",,getattr_1,dim,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}","[[1], [1], [1]]","[True, True, True]",True,0.011999999918043614,0.011999999918043614,0,0,"(1, 512)",torch.float32,ones
call_method,dim,{ones: None},"(ones,)",{},{eq_1: None},,ones,eq_1,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}","[[1, 512]]",[True],True,0.006918400060385466,0.006918400060385466,0,0,"(1,)",,dim
call_function,<built-in function eq>,{dim: None},"(dim, 2)",{},{},,dim,dim_1,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}",[[1]],[True],True,0.0068223999813199045,0.0068223999813199045,0,0,"(1,)",,eq_1
call_method,dim,{ones: None},"(ones,)",{},{eq_2: None},,eq_1,eq_2,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}","[[1, 512]]",[True],True,0.006943999975919724,0.006943999975919724,0,0,"(1,)",,dim_1
call_function,<built-in function eq>,{dim_1: None},"(dim_1, 3)",{},{},,dim_1,dim_2,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)])}",[[1]],[True],True,0.0067072001285851,0.0067072001285851,0,0,"(1,)",,eq_2
