Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'vie', 'siz'}",[],"(2, 1024)"
size,misc,[],[],[],"{""'input_ids""}","{'getite', 'getitem_'}","[(2, 1024)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'vie'},"[(1,)]","(1,)"
view,misc,[],[],[],"{""'getitem"", ""'input_ids""}","{'transformer_wt', 'getattr_', 'size_'}","[(2, 1024), (1,)]","(2, 1024)"
size_1,misc,[],[],[],"{""'view""}",{'getitem_'},"[(2, 1024)]","(1,)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_1""}",set(),"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'ad'},"[(1,)]","(1,)"
add,misc,[],[],[],"{""'getitem_2""}",{'arang'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],"{""'view""}",{'arang'},"[(2, 1024)]","(1,)"
arange,misc,[],[],[],"{""'add"", ""'getattr_1""}",{'unsqueez'},"[(1,), (1,)]","(1024,)"
unsqueeze,misc,[],[],[],"{""'arange""}",{'transformer_wp'},"[(1024,)]","(1, 1024)"
transformer_wte,EMBEDDING,"[['MEM', ((2, 1024), (2, 1024, 1024))]]","[['MEM', ((50257, 1024),)], ['MEM', ((50257, 1024),)]]","[['VECadd', [1, 51463168]]]","{""'view""}",{'add_'},"[(2, 1024)]","(2, 1024, 1024)"
transformer_wpe,misc,[],[],[],"{""'unsqueeze""}",{'add_'},"[(1, 1024)]","(1, 1024, 1024)"
add_1,VECadd,"[['VECadd', (2048, 1024)]]","[['MEM', ((2048, 1024),)], ['MEM', ((2048, 1024),)]]",[],"{""'transformer_wpe"", ""'transformer_wte""}",{'transformer_dro'},"[(2, 1024, 1024), (1, 1024, 1024)]","(2, 1024, 1024)"
transformer_drop,dropout,"[['MEM', ((2, 1024, 1024), (2, 1024, 1024))]]","[['MEM', ((2, 1024, 1024),)], ['MEM', ((2, 1024, 1024),)]]",[],"{""'add_1""}","{'add_1', 'size_', 'transformer_h_0_ln_'}","[(2, 1024, 1024)]","(2, 1024, 1024)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'add_'},"[(1,)]","(1,)"
add_2,misc,[],[],[],"{""'getitem_3""}",{'add_'},"[(1,)]","(1,)"
size_2,misc,[],[],[],"{""'transformer_drop""}",{'add_'},"[(2, 1024, 1024)]","(1,)"
add_3,misc,[],[],[],"{""'add_2"", ""'size_2""}",{'view_1'},"[(1,), (1,)]","(1,)"
transformer_h_0_ln_1,VECln,"[['VECln', (2048, 1024)]]","[['VECmul', (2048, 1024)]]","[['VECadd', [1, 1024]], ['VECadd', [1, 1024]]]","{""'transformer_drop""}","{'view_', 'size_'}","[(2, 1024, 1024)]","(2, 1024, 1024)"
size_3,misc,[],[],[],"{""'transformer_h_0_ln_1""}",{'getitem_'},"[(2, 1024, 1024)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_3""}",{'add_'},"[(1,)]","(1,)"
add_4,misc,[],[],[],"{""'getitem_4""}",{'view_'},"[(1,)]","(1,)"
transformer_h_0_attn_c_attn_bias,misc,[],[],[],set(),{'addm'},[],"(3072,)"
size_4,misc,[],[],[],"{""'transformer_h_0_ln_1""}",{'view_'},"[(2, 1024, 1024)]","(1,)"
view_1,misc,[],[],[],"{""'transformer_h_0_ln_1"", ""'size_4""}",{'addm'},"[(2, 1024, 1024), (1,)]","(2048, 1024)"
transformer_h_0_attn_c_attn_weight,misc,[],[],[],set(),{'addm'},[],"(1024, 3072)"
addmm,Linear,"[['Linear', (2048, 1024, 3072)]]","[['Linear', (2048, 3072, 1024)], ['Linear', (3072, 2048, 1024)]]","[['VECadd', [1, 3145728]], ['VECadd', [1, 3072]]]","{""'view_1"", ""'transformer_h_0_attn_c_attn_bias"", ""'transformer_h_0_attn_c_attn_weight""}",{'view_'},"[(3072,), (2048, 1024), (1024, 3072)]","(2048, 3072)"
view_2,misc,[],[],[],"{""'add_4"", ""'addmm""}",{'spli'},"[(2048, 3072), (1,)]","(2, 1024, 3072)"
split,misc,[],[],[],"{""'view_2""}",{'getitem_'},"[(2, 1024, 3072)]","(1,)"
getitem_5,getitem,"[['MEM', ((1,), (2, 1024, 1024))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'split""}","{'view_', 'size_'}","[(1,)]","(2, 1024, 1024)"
getitem_6,getitem,"[['MEM', ((1,), (2, 1024, 1024))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'split""}","{'view_', 'size_'}","[(1,)]","(2, 1024, 1024)"
getitem_7,getitem,"[['MEM', ((1,), (2, 1024, 1024))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'split""}","{'view_', 'size_'}","[(1,)]","(2, 1024, 1024)"
size_5,misc,[],[],[],"{""'getitem_5""}",{'getitem_'},"[(2, 1024, 1024)]","(1,)"
getitem_8,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_5""}",{'add_'},"[(1,)]","(1,)"
add_5,misc,[],[],[],"{""'getitem_8""}",{'view_'},"[(1,)]","(1,)"
view_3,misc,[],[],[],"{""'getitem_5"", ""'add_5""}",{'permut'},"[(2, 1024, 1024), (1,)]","(2, 1024, 16, 64)"
permute,misc,[],[],[],"{""'view_3""}","{'matmu', 'size_'}","[(2, 1024, 16, 64)]","(2, 16, 1024, 64)"
size_6,misc,[],[],[],"{""'getitem_6""}",{'getitem_'},"[(2, 1024, 1024)]","(1,)"
getitem_9,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_6""}",{'add_'},"[(1,)]","(1,)"
add_6,misc,[],[],[],"{""'getitem_9""}",{'view_'},"[(1,)]","(1,)"
view_4,misc,[],[],[],"{""'getitem_6"", ""'add_6""}",{'permute_'},"[(2, 1024, 1024), (1,)]","(2, 1024, 16, 64)"
permute_1,misc,[],[],[],"{""'view_4""}","{'transpos', 'outpu', 'size_1'}","[(2, 1024, 16, 64)]","(2, 16, 1024, 64)"
size_7,misc,[],[],[],"{""'getitem_7""}",{'getitem_1'},"[(2, 1024, 1024)]","(1,)"
getitem_10,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_7""}",{'add_'},"[(1,)]","(1,)"
add_7,misc,[],[],[],"{""'getitem_10""}",{'view_'},"[(1,)]","(1,)"
view_5,misc,[],[],[],"{""'add_7"", ""'getitem_7""}",{'permute_'},"[(2, 1024, 1024), (1,)]","(2, 1024, 16, 64)"
permute_2,misc,[],[],[],"{""'view_5""}","{'getattr_', 'outpu', 'matmul_', 'size_'}","[(2, 1024, 16, 64)]","(2, 16, 1024, 64)"
transpose,misc,[],[],[],"{""'permute_1""}",{'matmu'},"[(2, 16, 1024, 64)]","(2, 16, 64, 1024)"
matmul,BMM,"[['BMM', (32, 1024, 64, 1024)]]","[['BMM', (32, 1024, 1024, 64)], ['BMM', (32, 64, 1024, 1024)]]",[],"{""'transpose"", ""'permute""}","{'getattr_', 'truedi'}","[(2, 16, 1024, 64), (2, 16, 64, 1024)]","(2, 16, 1024, 1024)"
size_8,misc,[],[],[],"{""'permute_2""}",{'pow_'},"[(2, 16, 1024, 64)]","(1,)"
pow_1,misc,[],[],[],"{""'size_8""}",{'ful'},"[(1,)]","(1,)"
getattr_2,misc,[],[],[],"{""'matmul""}",{'ful'},"[(2, 16, 1024, 1024)]","(1,)"
getattr_3,misc,[],[],[],"{""'matmul""}",{'ful'},"[(2, 16, 1024, 1024)]","(1,)"
full,misc,[],[],[],"{""'getattr_2"", ""'getattr_3"", ""'pow_1""}",{'truedi'},"[(1,), (1,), (1,)]","(1,)"
truediv,VECdiv,"[['VECdiv', (32768, 1024)]]","[['VECdiv', (32768, 1024)], ['VECdiv', (32768, 1024)]]",[],"{""'matmul"", ""'full""}","{'getattr_', 't'}","[(2, 16, 1024, 1024), (1,)]","(2, 16, 1024, 1024)"
size_9,misc,[],[],[],"{""'permute""}",{'su'},"[(2, 16, 1024, 64)]","(1,)"
size_10,misc,[],[],[],"{""'permute_1""}","{'su', 'getitem_1'}","[(2, 16, 1024, 64)]","(1,)"
transformer_h_0_attn_bias,misc,[],[],[],set(),{'getitem_1'},[],"(1, 1, 1024, 1024)"
sub,misc,[],[],[],"{""'size_10"", ""'size_9""}",{'getitem_1'},"[(1,), (1,)]","(1,)"
getitem_11,getitem,"[['MEM', ((1, 1, 1024, 1024), (1,), (1,), (1, 1, 1024, 1024))]]","[['MEM', ((1, 1, 1024, 1024), (1,), (1,))], ['MEM', ((1, 1, 1024, 1024), (1,), (1,))]]",[],"{""'transformer_h_0_attn_bias"", ""'size_10"", ""'sub""}",{'wher'},"[(1, 1, 1024, 1024), (1,), (1,)]","(1, 1, 1024, 1024)"
getattr_4,misc,[],[],[],"{""'truediv""}",{'finf'},"[(2, 16, 1024, 1024)]","(1,)"
finfo,misc,[],[],[],"{""'getattr_4""}",{'getattr_'},"[(1,)]","(1,)"
getattr_5,misc,[],[],[],"{""'finfo""}",{'full_'},"[(1,)]","(1,)"
getattr_6,misc,[],[],[],"{""'truediv""}",{'full_'},"[(2, 16, 1024, 1024)]","(1,)"
getattr_7,misc,[],[],[],"{""'truediv""}",{'full_'},"[(2, 16, 1024, 1024)]","(1,)"
full_1,misc,[],[],[],"{""'getattr_5"", ""'getattr_7"", ""'getattr_6""}",{'wher'},"[(1,), (1,), (1,)]","(1,)"
getattr_8,misc,[],[],[],"{""'truediv""}",{'t'},"[(2, 16, 1024, 1024)]","(1,)"
to,misc,[],[],[],"{""'getattr_8"", ""'truediv""}",{'wher'},"[(2, 16, 1024, 1024), (1,)]","(2, 16, 1024, 1024)"
where,where,"[['MEM', ((1, 1, 1024, 1024), (2, 16, 1024, 1024), (1,), (2, 16, 1024, 1024))]]","[['MEM', ((1, 1, 1024, 1024), (2, 16, 1024, 1024), (1,))], ['MEM', ((1, 1, 1024, 1024), (2, 16, 1024, 1024), (1,))]]",[],"{""'getitem_11"", ""'full_1"", ""'to""}",{'softma'},"[(1, 1, 1024, 1024), (2, 16, 1024, 1024), (1,)]","(2, 16, 1024, 1024)"
softmax,VECsoftmax,"[['VECsoftmax', (32768, 1024)]]","[['VECmul', (32768, 1024)], ['VECsoftmax', (32768, 1024)]]",[],"{""'where""}",{'type_'},"[(2, 16, 1024, 1024)]","(2, 16, 1024, 1024)"
getattr_9,misc,[],[],[],"{""'permute_2""}",{'type_'},"[(2, 16, 1024, 64)]","(1,)"
type_1,misc,[],[],[],"{""'softmax"", ""'getattr_9""}",{'transformer_h_0_attn_attn_dropou'},"[(2, 16, 1024, 1024), (1,)]","(2, 16, 1024, 1024)"
transformer_h_0_attn_attn_dropout,dropout,"[['MEM', ((2, 16, 1024, 1024), (2, 16, 1024, 1024))]]","[['MEM', ((2, 16, 1024, 1024),)], ['MEM', ((2, 16, 1024, 1024),)]]",[],"{""'type_1""}",{'matmul_'},"[(2, 16, 1024, 1024)]","(2, 16, 1024, 1024)"
matmul_1,BMM,"[['BMM', (32, 1024, 1024, 64)]]","[['BMM', (32, 1024, 64, 1024)], ['BMM', (32, 1024, 1024, 64)]]",[],"{""'permute_2"", ""'transformer_h_0_attn_attn_dropout""}",{'permute_'},"[(2, 16, 1024, 1024), (2, 16, 1024, 64)]","(2, 16, 1024, 64)"
permute_3,misc,[],[],[],"{""'matmul_1""}",{'contiguou'},"[(2, 16, 1024, 64)]","(2, 1024, 16, 64)"
contiguous,contiguous,"[['MEM', ((2, 1024, 16, 64), (2, 1024, 16, 64))]]","[['MEM', ((2, 1024, 16, 64),)], ['MEM', ((2, 1024, 16, 64),)]]",[],"{""'permute_3""}","{'view_', 'size_1'}","[(2, 1024, 16, 64)]","(2, 1024, 16, 64)"
size_11,misc,[],[],[],"{""'contiguous""}",{'getitem_1'},"[(2, 1024, 16, 64)]","(1,)"
getitem_12,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_11""}",{'add_'},"[(1,)]","(1,)"
add_8,misc,[],[],[],"{""'getitem_12""}",{'view_'},"[(1,)]","(1,)"
view_6,misc,[],[],[],"{""'contiguous"", ""'add_8""}","{'view_', 'size_1'}","[(2, 1024, 16, 64), (1,)]","(2, 1024, 1024)"
size_12,misc,[],[],[],"{""'view_6""}",{'getitem_1'},"[(2, 1024, 1024)]","(1,)"
getitem_13,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_12""}",{'add_'},"[(1,)]","(1,)"
add_9,misc,[],[],[],"{""'getitem_13""}",{'view_'},"[(1,)]","(1,)"
