Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'siz', 'vie'}",[],"(2, 2048)"
size,misc,[],[],[],"{""'input_ids""}","{'getitem_', 'getite'}","[(2, 2048)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size""}",{'vie'},"[(1,)]","(1,)"
view,misc,[],[],[],"{""'input_ids"", ""'getitem""}","{'getattr_', 'size_', 'transformer_wt'}","[(2, 2048), (1,)]","(2, 2048)"
size_1,misc,[],[],[],"{""'view""}",{'getitem_'},"[(2, 2048)]","(1,)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_1""}",set(),"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size""}",{'ad'},"[(1,)]","(1,)"
add,misc,[],[],[],"{""'getitem_2""}",{'arang'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],"{""'view""}",{'arang'},"[(2, 2048)]","(1,)"
arange,misc,[],[],[],"{""'add"", ""'getattr_1""}",{'unsqueez'},"[(1,), (1,)]","(2048,)"
unsqueeze,misc,[],[],[],"{""'arange""}",{'transformer_wp'},"[(2048,)]","(1, 2048)"
transformer_wte,EMBEDDING,"[['MEM', ((2, 2048), (2, 2048, 2560))]]",[],[],"{""'view""}",{'add_'},"[(2, 2048)]","(2, 2048, 2560)"
transformer_wpe,misc,[],[],[],"{""'unsqueeze""}",{'add_'},"[(1, 2048)]","(1, 2048, 2560)"
add_1,VECadd,"[['VECadd', (4096, 2560)]]",[],[],"{""'transformer_wte"", ""'transformer_wpe""}",{'transformer_dro'},"[(2, 2048, 2560), (1, 2048, 2560)]","(2, 2048, 2560)"
transformer_drop,misc,[],[],[],"{""'add_1""}","{'transformer_h_0_ln_', 'size_', 'add_1'}","[(2, 2048, 2560)]","(2, 2048, 2560)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size""}",{'add_'},"[(1,)]","(1,)"
add_2,misc,[],[],[],"{""'getitem_3""}",{'add_'},"[(1,)]","(1,)"
size_2,misc,[],[],[],"{""'transformer_drop""}",{'add_'},"[(2, 2048, 2560)]","(1,)"
add_3,misc,[],[],[],"{""'add_2"", ""'size_2""}",{'view_1'},"[(1,), (1,)]","(1,)"
transformer_h_0_ln_1,VECln,"[['VECln', (4096, 2560)]]",[],[],"{""'transformer_drop""}","{'size_', 'view_'}","[(2, 2048, 2560)]","(2, 2048, 2560)"
size_3,misc,[],[],[],"{""'transformer_h_0_ln_1""}",{'getitem_'},"[(2, 2048, 2560)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]",[],[],"{""'size_3""}",{'add_'},"[(1,)]","(1,)"
add_4,misc,[],[],[],"{""'getitem_4""}",{'view_'},"[(1,)]","(1,)"
transformer_h_0_attn_c_attn_bias,misc,[],[],[],set(),{'addm'},[],"(7680,)"
size_4,misc,[],[],[],"{""'transformer_h_0_ln_1""}",{'view_'},"[(2, 2048, 2560)]","(1,)"
view_1,misc,[],[],[],"{""'transformer_h_0_ln_1"", ""'size_4""}",{'addm'},"[(2, 2048, 2560), (1,)]","(4096, 2560)"
transformer_h_0_attn_c_attn_weight,misc,[],[],[],set(),{'addm'},[],"(2560, 7680)"
