input_shapes,input_contiguous,contiguous,output_shape,dtype,Name,meta,_input_nodes,users
[],[],True,"(2, 2048)",torch.int64,input_ids,{},[],"[size, view]"
"[[2, 2048]]",[True],True,"(1,)",,size,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['input_ids'],"[getitem, getitem_2, getitem_3]"
[[1]],[True],True,"(1,)",,getitem,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['size'],[view]
"[[2, 2048], [1]]","[True, True]",True,"(2, 2048)",torch.int64,view,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","['input_ids', 'getitem']","[size_1, getattr_1, transformer_wte]"
"[[2, 2048]]",[True],True,"(1,)",,size_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['view'],[getitem_1]
[[1]],[True],True,"(1,)",,getitem_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['size_1'],[]
[[1]],[True],True,"(1,)",,getitem_2,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['size'],[add]
[[1]],[True],True,"(1,)",,add,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['getitem_2'],[arange]
"[[2, 2048]]",[True],True,"(1,)",,getattr_1,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['view'],[arange]
"[[1], [1]]","[True, True]",True,"(2048,)",torch.int64,arange,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","['add', 'getattr_1']",[unsqueeze]
[[2048]],[True],True,"(1, 2048)",torch.int64,unsqueeze,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",['arange'],[transformer_wpe]
"[[2, 2048]]",[True],True,"(2, 2048, 2560)",torch.float32,transformer_wte,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.wte': ('transformer.wte', <class 'torch.nn.modules.sparse.Embedding'>)})}",['view'],[add_1]
"[[1, 2048]]",[True],True,"(1, 2048, 2560)",torch.float32,transformer_wpe,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.wpe': ('transformer.wpe', <class 'torch.nn.modules.sparse.Embedding'>)})}",['unsqueeze'],[add_1]
