Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape,LinearWeightTrainable,LoraRank
input_ids,misc,[],[],[],set(),"{'vie', 'siz'}",[],"(4, 2048)",True,0
size,misc,[],[],[],"{""'input_ids""}","{'getitem_', 'getite'}","[(4, 2048)]","(1,)",True,0
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'vie'},"[(1,)]","(1,)",True,0
view,misc,[],[],[],"{""'input_ids"", ""'getitem""}",{'model_decoder_embed_token'},"[(4, 2048), (1,)]","(4, 2048)",True,0
model_decoder_embed_tokens,EMBEDDING,"[['MEM', ((4, 2048), (4, 2048, 2048))]]","[['MEM', ((50272, 2048),)], ['MEM', ((50272, 2048),)]]","[['VECadd', [1, 102957056]]]","{""'view""}","{'model_decoder_project_i', 'getattr_'}","[(4, 2048)]","(4, 2048, 2048)",False,0
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'one'},"[(1,)]","(1,)",True,0
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'ad'},"[(1,)]","(1,)",True,0
add,misc,[],[],[],"{""'getitem_2""}",{'one'},"[(1,)]","(1,)",True,0
getattr_1,misc,[],[],[],"{""'model_decoder_embed_tokens""}",{'one'},"[(4, 2048, 2048)]","(1,)",True,0
ones,misc,[],[],[],"{""'getattr_1"", ""'getitem_1"", ""'add""}","{'getitem_', 'lon', 'getattr_', 'size_'}","[(1,), (1,), (1,)]","(4, 2048)",True,0
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'add_'},"[(1,)]","(1,)",True,0
add_1,misc,[],[],[],"{""'getitem_3""}",{'su'},"[(1,)]","(1,)",True,0
size_1,misc,[],[],[],"{""'ones""}",set(),"[(4, 2048)]","(1,)",True,0
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}","{'expand_', 'add_', 'ful', 'expan', 'su', 'g'}","[(1,)]","(1,)",True,0
size_2,misc,[],[],[],"{""'ones""}",{'getitem_'},"[(4, 2048)]","(1,)",True,0
getitem_5,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_2""}",{'expan'},"[(1,)]","(1,)",True,0
gt,misc,[],[],[],"{""'getitem_4""}",set(),"[(1,)]","(1,)",True,0
sub,misc,[],[],[],"{""'add_1"", ""'getitem_4""}","{'add_', 'gt_'}","[(1,), (1,)]","(1,)",True,0
getattr_2,misc,[],[],[],"{""'model_decoder_embed_tokens""}","{'t', 'finfo_', 'finf', 'to_'}","[(4, 2048, 2048)]","(1,)",True,0
finfo,misc,[],[],[],"{""'getattr_2""}",{'getattr_'},"[(1,)]","(1,)",True,0
getattr_3,misc,[],[],[],"{""'finfo""}",{'ful'},"[(1,)]","(1,)",True,0
getattr_4,misc,[],[],[],"{""'ones""}","{'ful', 'arang'}","[(4, 2048)]","(1,)",True,0
full,misc,[],[],[],"{""'getitem_4"", ""'getattr_3"", ""'getattr_4""}","{'t', 'size_', 'masked_fill'}","[(1,), (1,), (1,)]","(2048, 2048)",True,0
size_3,misc,[],[],[],"{""'full""}",{'arang'},"[(2048, 2048)]","(1,)",True,0
