input_shapes,input_contiguous,contiguous,output_shape,dtype,Name,meta,module_path,linear_weight_trainable,lora_rank,_input_nodes,users
[],[],True,"(2, 1024)",torch.int64,input_ids,{},,True,0,[],"[size, view]"
"[[2, 1024]]",[True],True,"(1,)",,size,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['input_ids'],"[getitem, getitem_1, getitem_2, getitem_3, getitem_4]"
[[1]],[True],True,"(1,)",,getitem,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['size'],[view]
"[[2, 1024], [1]]","[True, True]",True,"(2, 1024)",torch.int64,view,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['input_ids', 'getitem']",[model_decoder_embed_tokens]
"[[2, 1024]]",[True],True,"(2, 1024, 2048)",torch.float32,model_decoder_embed_tokens,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_tokens': ('model.decoder.embed_tokens', <class 'torch.nn.modules.sparse.Embedding'>)})}",model.decoder.embed_tokens,False,0,['view'],"[getattr_1, getattr_2, model_decoder_project_in]"
[[1]],[True],True,"(1,)",,getitem_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['size'],[ones]
[[1]],[True],True,"(1,)",,getitem_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['size'],[add]
[[1]],[True],True,"(1,)",,add,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['getitem_2'],[ones]
"[[2, 1024, 2048]]",[True],True,"(1,)",,getattr_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['model_decoder_embed_tokens'],[ones]
"[[1], [1], [1]]","[True, True, True]",True,"(2, 1024)",torch.float32,ones,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['getitem_1', 'add', 'getattr_1']","[size_1, size_2, getattr_4, size_5, getitem_9, getattr_6, long]"
