Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape,LinearWeightTrainable,LoraRank
input_ids,misc,[],[],[],set(),"{'vie', 'siz'}",[],"(32, 1024)",True,0
size,misc,[],[],[],"{""'input_ids""}","{'getitem_', 'getite'}","[(32, 1024)]","(1,)",True,0
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'vie'},"[(1,)]","(1,)",True,0
view,misc,[],[],[],"{""'input_ids"", ""'getitem""}",{'model_decoder_embed_token'},"[(32, 1024), (1,)]","(32, 1024)",True,0
model_decoder_embed_tokens,EMBEDDING,"[['MEM', ((32, 1024), (32, 1024, 2048))]]","[['MEM', ((50272, 2048),)], ['MEM', ((50272, 2048),)]]","[['VECadd', [1, 102957056]]]","{""'view""}","{'getattr_', 'add_'}","[(32, 1024)]","(32, 1024, 2048)",False,0
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'one'},"[(1,)]","(1,)",True,0
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'ad'},"[(1,)]","(1,)",True,0
add,misc,[],[],[],"{""'getitem_2""}",{'one'},"[(1,)]","(1,)",True,0
getattr_1,misc,[],[],[],"{""'model_decoder_embed_tokens""}",{'one'},"[(32, 1024, 2048)]","(1,)",True,0
ones,misc,[],[],[],"{""'getitem_1"", ""'getattr_1"", ""'add""}","{'getattr_', 'getitem_', 'lon', 'size_'}","[(1,), (1,), (1,)]","(32, 1024)",True,0
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'add_'},"[(1,)]","(1,)",True,0
add_1,misc,[],[],[],"{""'getitem_3""}",{'su'},"[(1,)]","(1,)",True,0
size_1,misc,[],[],[],"{""'ones""}",set(),"[(32, 1024)]","(1,)",True,0
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}","{'g', 'ful', 'expand_', 'su', 'add_', 'expan'}","[(1,)]","(1,)",True,0
size_2,misc,[],[],[],"{""'ones""}",{'getitem_'},"[(32, 1024)]","(1,)",True,0
getitem_5,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_2""}",{'expan'},"[(1,)]","(1,)",True,0
gt,misc,[],[],[],"{""'getitem_4""}",set(),"[(1,)]","(1,)",True,0
sub,misc,[],[],[],"{""'getitem_4"", ""'add_1""}","{'gt_', 'add_'}","[(1,), (1,)]","(1,)",True,0
getattr_2,misc,[],[],[],"{""'model_decoder_embed_tokens""}","{'to_', 'finfo_', 'finf', 't'}","[(32, 1024, 2048)]","(1,)",True,0
finfo,misc,[],[],[],"{""'getattr_2""}",{'getattr_'},"[(1,)]","(1,)",True,0
getattr_3,misc,[],[],[],"{""'finfo""}",{'ful'},"[(1,)]","(1,)",True,0
getattr_4,misc,[],[],[],"{""'ones""}","{'arang', 'ful'}","[(32, 1024)]","(1,)",True,0
full,misc,[],[],[],"{""'getitem_4"", ""'getattr_3"", ""'getattr_4""}","{'masked_fill', 't', 'size_'}","[(1,), (1,), (1,)]","(1024, 1024)",True,0
size_3,misc,[],[],[],"{""'full""}",{'arang'},"[(1024, 1024)]","(1,)",True,0
arange,misc,[],[],[],"{""'getattr_4"", ""'size_3""}","{'l', 'add_'}","[(1,), (1,)]","(1024,)",True,0
add_2,VECaddu,"[['VECaddu', (1, 1024)]]","[['MEM', ((1, 1024),)]]",[],"{""'arange""}",{'view_'},"[(1024,)]","(1024,)",True,0
size_4,misc,[],[],[],"{""'full""}",{'view_'},"[(1024, 1024)]","(1,)",True,0
view_1,misc,[],[],[],"{""'size_4"", ""'add_2""}",{'l'},"[(1024,), (1,)]","(1024, 1)",True,0
lt,misc,[],[],[],"{""'view_1"", ""'arange""}",{'masked_fill'},"[(1024,), (1024, 1)]","(1024, 1024)",True,0
masked_fill_,misc,[],[],[],"{""'lt"", ""'full""}",set(),"[(1024, 1024), (1024, 1024)]","(1024, 1024)",True,0
to,misc,[],[],[],"{""'getattr_2"", ""'full""}",{'getitem_'},"[(1024, 1024), (1,)]","(1024, 1024)",True,0
gt_1,misc,[],[],[],"{""'sub""}",set(),"[(1,)]","(1,)",True,0
getitem_6,getitem,"[['MEM', ((1024, 1024), (1, 1, 1024, 1024))]]","[['MEM', ((1024, 1024),)], ['MEM', ((1024, 1024),)]]",[],"{""'to""}",{'expan'},"[(1024, 1024)]","(1, 1, 1024, 1024)",True,0
add_3,misc,[],[],[],"{""'getitem_4"", ""'sub""}",{'expan'},"[(1,), (1,)]","(1,)",True,0
expand,misc,[],[],[],"{""'getitem_4"", ""'getitem_5"", ""'getitem_6"", ""'add_3""}",{'masked_fill_'},"[(1, 1, 1024, 1024), (1,), (1,), (1,)]","(32, 1, 1024, 1024)",True,0
size_5,misc,[],[],[],"{""'ones""}",{'getitem_'},"[(32, 1024)]","(1,)",True,0
