input_shapes,input_contiguous,contiguous,output_shape,dtype,Name,meta,module_path,linear_weight_trainable,lora_rank,_input_nodes,users
[],[],True,"(4, 512)",torch.int64,input_ids,{},,True,0,[],"[size, getattr_1, model_embed_tokens]"
"[[4, 512]]",[True],True,"(1,)",,size,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['input_ids'],"[getitem, getitem_1]"
[[1]],[True],True,"(1,)",,getitem,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['size'],[expand]
[[1]],[True],True,"(1,)",,getitem_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['size'],"[add, view, add_1, sub, gt, full, add_4, expand]"
[[1]],[True],True,"(1,)",,add,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['getitem_1'],[arange]
"[[4, 512]]",[True],True,"(1,)",,getattr_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['input_ids'],[arange]
"[[1], [1]]","[True, True]",True,"(512,)",torch.int64,arange,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['add', 'getattr_1']",[unsqueeze]
[[512]],[True],True,"(1, 512)",torch.int64,unsqueeze,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['arange'],[view]
"[[1, 512], [1]]","[True, True]",True,"(1, 512)",torch.int64,view,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['unsqueeze', 'getitem_1']","[getitem_9, getitem_10]"
"[[4, 512]]",[True],True,"(4, 512, 5120)",torch.float32,model_embed_tokens,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>), 'model.embed_tokens': ('model.embed_tokens', <class 'torch.nn.modules.sparse.Embedding'>)})}",model.embed_tokens,False,0,['input_ids'],"[getattr_2, getattr_4, to_1, getattr_6, add_15]"
[[1]],[True],True,"(1,)",,add_1,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,['getitem_1'],[sub]
"[[1], [1]]","[True, True]",True,"(1,)",,sub,"{'nn_module_stack': OrderedDict({'model': ('model', <class 'transformers.models.qwen2.modeling_qwen2.Qwen2Model'>)})}",model,True,0,"['add_1', 'getitem_1']","[gt_1, sub_1, add_4]"
